request method,input size,response code,duration
0,211,509,681
2,996,109,262
0,545,509,223
1,368,109,661
3,691,405,327
3,737,402,737
1,425,106,680
0,1083,203,363
1,398,206,350
1,382,405,566
0,375,502,292
1,516,401,57
2,636,506,914
0,280,100,500
3,523,105,382
3,543,106,360
1,326,402,489
0,202,107,485
3,663,405,255
0,579,504,220
3,273,300,643
3,644,408,250
0,349,505,269
3,150,404,204
1,387,208,363
3,680,401,301
3,592,406,859
3,297,307,736
3,121,406,154
2,601,506,492
0,350,508,249
0,518,506,243
3,805,207,382
0,352,502,295
0,560,505,199
2,1005,103,238
1,603,402,63
0,404,500,289
0,258,102,478
3,682,408,309
3,775,207,368
2,532,504,494
2,627,507,885
1,882,402,722
0,543,503,217
3,216,401,139
1,232,101,802
0,410,505,312
2,1001,106,285
0,431,506,238
3,693,404,320
1,746,503,263
1,515,409,110
1,406,404,501
3,918,109,480
1,290,105,769
3,141,405,173
0,435,503,243
3,691,400,323
3,725,202,406
0,182,107,502
2,542,505,468
2,791,104,435
3,295,309,1013
3,123,407,209
2,729,102,490
3,73,407,707
2,485,207,326
2,620,500,506
2,974,100,283
1,728,503,214
3,266,309,982
1,390,202,379
3,602,305,455
0,278,107,494
3,698,400,290
2,764,107,497
1,899,400,689
3,307,302,662
1,402,402,521
2,549,509,435
3,345,302,624
3,667,409,265
3,652,403,266
3,966,108,429
3,15,408,643
3,556,303,388
1,939,407,721
0,288,504,640
3,228,308,978
0,943,505,464
3,827,503,823
0,279,106,532
0,1035,207,365
3,736,201,363
0,231,505,624
1,395,400,487
0,422,505,310
1,331,400,484
2,540,201,308
2,573,208,279
1,776,500,285
1,263,105,778
0,1002,506,491
1,273,108,841
3,604,300,471
3,759,202,355
0,1034,205,394
1,906,400,722
1,574,400,54
3,817,504,789
0,593,506,188
3,243,303,1045
2,766,100,488
0,86,105,557
1,457,102,662
3,337,301,670
1,579,409,126
1,370,409,516
3,305,308,737
1,736,506,273
1,601,106,106
3,362,302,681
2,560,208,329
2,556,509,838
1,930,404,744
1,352,409,533
3,723,409,779
3,357,309,657
3,88,402,654
3,359,305,718
2,591,501,505
0,848,100,880
2,577,503,910
0,246,101,477
3,944,100,492
3,775,205,347
0,918,101,884
1,708,500,281
3,651,404,313
3,738,400,734
3,583,403,799
1,872,403,728
3,311,303,702
3,789,504,768
1,401,105,678
3,772,202,327
3,897,102,472
0,599,505,192
3,709,401,280
3,790,209,398
2,524,204,307
3,527,104,422
0,211,104,567
3,282,307,1056
3,736,406,719
3,540,305,387
2,605,503,897
3,542,302,412
0,1037,203,362
0,448,501,282
3,980,102,430
3,308,301,670
3,783,504,794
3,120,407,136
3,766,208,396
0,49,109,572
3,953,104,477
1,424,100,643
1,699,507,302
0,207,509,626
1,456,103,737
2,723,109,453
2,617,500,855
2,589,500,889
0,1034,200,355
1,411,107,738
2,720,106,507
0,904,509,456
2,1012,108,253
3,614,406,813
1,772,501,245
2,597,502,523
1,408,200,395
3,206,406,186
0,944,501,422
0,564,507,190
2,522,505,519
1,405,409,538
1,871,409,669
3,121,403,232
2,723,109,471
3,741,506,839
1,417,105,737
3,660,405,239
0,58,108,613
0,588,504,261
1,901,405,744
1,413,107,699
0,206,100,495
3,51,405,668
2,618,501,509
3,634,405,880
3,273,306,756
3,190,402,235
3,308,304,1032
2,614,504,860
3,600,305,401
2,580,503,891
3,696,409,264
1,758,503,264
0,920,100,924
2,595,501,450
3,558,305,476
0,600,505,222
3,503,100,354
1,277,105,847
0,224,109,526
3,754,407,754
3,658,406,314
1,607,100,317
0,16,106,601
0,1024,206,341
2,560,508,851
3,669,407,811
1,581,109,288
0,187,107,509
3,672,403,726
0,1070,207,314
3,602,408,818
3,580,401,809
0,890,102,904
1,574,108,68
1,638,104,104
3,770,208,421
2,485,208,286
3,945,108,418
0,829,109,906
3,43,404,703
3,340,303,753
3,499,105,447
3,244,309,1011
3,621,404,311
2,738,104,451
1,565,109,241
0,523,505,234
1,757,505,216
0,874,107,865
1,361,405,527
3,233,304,1033
0,1028,202,380
3,819,507,776
1,463,101,709
1,330,404,503
3,339,303,736
3,827,502,763
0,218,108,556
1,861,401,679
2,574,500,518
0,197,102,505
2,574,505,856
0,95,101,603
3,53,406,673
2,484,209,258
3,564,409,866
0,88,103,555
3,345,308,644
3,715,407,333
3,93,408,652
1,390,103,677
1,644,109,311
3,968,101,444
0,990,503,471
3,365,307,666
1,455,104,685
3,522,108,446
1,517,407,64
0,542,506,245
1,381,206,402
1,596,108,61
1,747,505,283
3,95,401,678
3,356,308,769
0,39,108,609
3,943,101,462
0,207,501,707
3,692,406,741
3,293,306,701
0,875,101,917
2,776,101,440
1,593,405,75
3,544,101,420
3,346,301,679
1,758,500,284
1,779,508,261
3,700,402,815
1,894,402,682
0,873,102,855
1,567,106,243
2,992,108,315
0,45,101,623
0,978,509,426
1,893,407,691
0,106,107,588
3,668,404,243
3,559,304,420
3,559,402,865
0,54,100,589
1,402,408,514
1,571,104,315
0,189,102,546
0,915,109,876
1,204,102,819
3,694,407,274
1,568,102,111
2,497,202,313
3,592,101,426
0,225,101,557
3,753,404,742
3,288,305,750
1,610,109,140
3,590,308,416
0,863,105,885
0,538,506,228
3,512,109,358
0,249,503,677
1,748,505,251
3,689,404,322
2,564,500,837
0,886,105,888
2,998,102,265
0,36,105,588
0,905,508,407
3,351,302,731
1,421,107,677
1,609,106,235
2,511,207,318
2,513,202,319
1,407,208,347
1,655,107,288
1,568,408,95
1,611,109,145
2,778,107,458
3,759,502,810
1,385,203,421
1,392,202,360
0,828,101,856
1,595,408,83
3,922,108,414
0,1056,201,362
0,246,504,700
1,740,501,277
3,759,503,823
3,761,400,800
2,1043,108,325
3,958,107,434
0,40,101,611
2,580,207,336
0,1001,509,449
3,707,404,236
2,1050,101,297
2,622,506,842
3,572,306,474
3,776,200,389
1,418,105,728
3,296,304,682
3,302,305,698
1,704,503,285
3,728,201,332
3,733,408,767
1,354,205,369
2,552,500,909
1,551,406,78
3,537,306,459
3,953,104,448
1,439,102,702
1,262,102,844
3,330,302,751
3,716,205,359
0,349,505,236
3,670,408,257
0,215,100,488
3,757,200,418
0,441,505,249
3,625,307,397
2,786,105,506
3,166,408,201
1,697,504,235
3,600,303,447
3,148,402,209
0,1106,205,377
1,780,503,293
2,540,207,303
1,599,106,252
0,1113,206,344
3,745,402,762
2,989,103,265
3,498,101,373
1,272,101,825
3,266,308,985
2,611,504,515
0,845,106,919
0,22,100,616
3,923,100,432
0,267,509,620
0,1037,209,368
0,561,503,216
3,214,402,179
2,496,200,290
3,583,404,822
0,589,506,231
1,759,509,222
0,263,107,504
1,692,504,273
3,754,206,326
0,556,500,195
1,618,100,241
0,201,101,486
1,571,402,57
3,665,408,272
3,725,204,407
0,591,504,228
1,547,104,79
1,629,106,116
1,775,509,266
1,242,102,866
3,321,303,760
1,390,204,327
1,378,107,685
0,412,504,291
3,581,406,889
0,919,104,901
3,585,103,377
3,740,503,795
1,879,409,690
2,710,106,476
0,565,501,237
3,723,407,761
2,572,505,518
2,602,509,505
1,590,405,89
1,314,202,331
0,260,106,479
3,290,308,726
0,391,508,272
3,319,309,642
2,779,109,494
3,603,304,407
3,797,506,844
0,1070,207,329
3,344,302,698
2,1011,100,232
3,275,309,735
2,1007,102,314
0,391,504,280
3,743,200,359
1,330,208,406
3,337,303,683
2,547,505,454
3,281,302,730
3,594,405,840
3,765,509,776
3,658,400,327
1,888,406,694
1,358,400,572
2,1030,100,262
3,891,109,435
3,539,105,424
3,269,308,1017
0,220,503,658
3,321,301,673
1,628,108,107
0,1090,209,377
0,938,505,406
1,593,105,234
1,415,402,538
3,176,402,229
2,502,203,289
3,285,301,1030
0,1108,209,389
2,616,502,874
2,961,104,313
2,506,208,329
2,556,504,837
3,501,109,396
1,606,108,128
2,755,103,521
3,235,306,1047
3,17,401,687
3,632,408,892
2,1016,107,259
1,582,107,117
3,544,103,360
1,644,105,109
0,353,501,233
1,921,404,759
0,910,507,444
1,387,209,368
3,599,406,815
1,394,101,687
1,614,108,67
3,279,304,1041
3,719,406,765
1,869,406,683
1,350,406,523
2,604,503,468
0,1028,209,309
3,616,403,846
2,709,107,517
0,917,507,403
1,323,406,501
3,269,307,727
3,543,309,431
0,543,506,233
1,730,509,253
0,865,106,906
0,1053,207,303
1,591,102,330
3,744,201,410
0,604,505,177
1,610,103,268
3,578,101,352
0,246,503,701
3,179,402,147
3,325,304,678
3,589,306,445
2,549,509,497
1,598,404,121
3,159,409,190
3,85,403,637
3,620,409,800
0,231,505,686
3,762,401,743
3,567,107,382
3,818,507,760
0,906,506,491
2,595,502,471
3,632,406,264
1,774,503,217
3,676,408,742
3,308,301,665
0,208,500,693
3,689,402,272
3,293,308,660
3,909,107,399
3,214,306,995
2,599,501,852
3,669,406,234
2,543,201,265
1,390,107,695
2,804,101,518
0,218,506,687
3,352,300,704
3,542,108,384
1,407,107,646
2,580,500,471
1,861,405,695
0,377,502,247
3,722,403,817
3,892,100,487
0,1071,209,312
2,752,100,493
0,580,501,233
2,760,100,502
1,628,106,318
3,932,100,404
1,704,501,223
0,221,504,644
2,509,202,304
3,766,203,409
3,133,403,155
3,82,408,644
0,955,509,413
3,566,401,835
2,1035,107,275
3,650,406,281
3,966,109,495
1,324,400,573
2,1031,104,285
2,538,208,262
0,1051,206,357
3,625,400,241
3,200,409,207
0,933,502,471
1,457,108,673
0,896,109,894
0,242,503,695
2,719,109,499
1,465,102,737
0,580,505,254
0,912,509,473
0,963,504,432
2,731,105,496
2,540,507,924
3,61,409,683
3,94,407,719
3,739,405,765
0,569,501,214
3,327,309,736
2,556,205,312
0,543,501,256
3,591,300,444
3,944,104,438
2,743,109,518
3,551,304,474
0,195,105,471
0,70,104,642
3,318,307,682
1,403,200,411
3,611,302,404
3,944,106,474
0,279,505,624
3,809,506,790
0,270,100,530
3,493,106,353
1,564,104,233
0,412,509,285
1,614,105,122
0,554,503,223
1,205,106,819
3,29,400,690
0,250,100,492
0,520,503,196
3,737,206,331
3,628,300,410
3,678,401,720
3,560,105,445
1,711,503,243
1,370,205,336
3,764,204,361
1,571,107,74
3,741,508,755
3,601,306,421
0,896,109,864
3,525,108,392
3,309,306,760
3,359,308,629
1,358,209,401
3,600,308,384
2,629,505,918
0,548,505,197
0,271,103,484
2,1010,108,251
1,451,107,740
3,661,400,268
3,583,108,386
3,327,306,696
3,642,408,300
3,615,401,842
3,270,309,1031
1,370,202,345
2,500,203,278
1,405,101,721
3,680,401,304
1,349,200,374
3,919,107,411
0,1101,203,326
3,734,503,821
3,632,403,242
3,500,104,368
1,938,404,697
3,626,406,858
0,528,504,192
0,864,101,829
3,597,301,425
3,557,107,408
2,1049,109,286
3,702,400,762
1,539,408,113
3,97,403,698
2,494,206,280
1,590,107,305
0,204,109,482
3,351,301,678
0,279,104,539
0,1049,208,337
2,722,105,492
3,623,400,878
0,1113,208,394
1,205,102,824
0,198,505,685
2,735,106,460
3,265,302,1007
0,439,508,264
2,573,505,861
1,606,106,327
0,903,507,455
3,678,400,816
1,859,401,759
1,413,405,541
3,619,402,296
3,680,402,289
1,364,404,482
2,555,205,280
3,711,408,793
3,712,403,312
3,330,301,692
1,212,107,865
2,751,105,456
1,546,403,69
1,337,202,327
1,868,408,679
2,600,501,847
3,509,103,408
0,88,104,632
3,64,408,712
0,530,506,226
3,332,302,746
1,953,407,668
3,933,109,406
3,665,402,318
2,572,503,837
0,239,506,703
2,632,500,924
1,237,108,767
1,692,502,286
2,1019,105,300
1,587,408,104
1,691,508,265
1,906,404,676
1,756,508,245
3,177,409,174
0,970,501,411
0,845,100,864
1,344,207,343
0,572,505,213
2,612,500,853
1,336,406,523
0,1092,203,355
0,208,502,615
1,874,406,666
0,984,505,471
3,495,105,384
3,937,107,404
3,228,304,1029
0,850,107,879
3,123,402,177
3,973,104,440
2,590,504,524
1,739,505,251
1,403,404,573
3,242,301,1002
2,596,501,846
1,361,204,419
3,571,300,390
3,532,109,421
3,579,407,848
1,436,100,676
0,26,102,620
3,566,404,849
1,658,106,259
3,895,108,480
3,631,400,239
2,611,505,446
1,575,106,86
3,615,400,893
1,407,108,651
3,537,107,371
1,601,100,280
0,279,503,637
1,440,104,670
1,256,107,774
1,275,109,866
2,559,505,882
1,738,501,295
3,886,100,417
1,455,101,717
1,385,106,742
1,711,504,302
2,538,500,898
3,614,302,447
3,317,302,693
3,735,202,414
3,818,502,784
1,323,200,420
1,318,206,407
0,402,508,227
3,887,102,447
3,217,303,991
1,251,104,826
0,222,104,527
0,919,101,894
3,785,203,349
2,564,207,262
3,278,301,1032
3,313,302,985
3,732,207,422
0,35,104,610
3,334,302,734
1,359,203,341
1,369,202,383
0,259,509,623
0,998,508,497
3,760,408,806
3,768,207,394
3,541,102,427
3,607,400,842
1,271,101,855
3,189,402,219
0,275,109,510
2,576,204,329
1,599,403,46
3,524,103,369
0,897,106,906
1,881,401,736
2,617,503,468
3,735,209,406
2,540,209,250
1,717,507,250
0,900,103,843
3,711,409,260
3,300,309,981
2,529,201,306
1,956,408,719
2,716,109,501
3,357,306,619
1,615,109,113
0,872,106,895
1,570,403,76
3,143,400,149
3,619,401,238
3,340,301,683
1,390,203,386
3,137,405,158
2,621,502,878
1,340,404,478
3,736,202,395
3,595,405,804
2,564,502,520
3,949,100,423
0,260,103,531
3,759,507,812
3,743,201,350
0,267,108,567
0,904,100,873
3,286,301,674
0,194,101,520
1,353,207,364
1,368,105,667
3,680,407,724
1,340,409,516
0,193,106,527
1,412,404,480
0,878,103,902
3,166,405,202
3,921,105,456
0,839,104,841
2,623,506,873
2,996,107,305
3,760,502,789
0,207,509,674
1,912,404,745
0,588,501,173
2,539,205,295
2,567,500,920
1,914,406,745
3,618,408,241
1,373,403,486
3,519,100,427
2,736,105,518
0,571,504,252
3,934,107,485
1,533,407,90
0,424,508,256
0,264,509,667
2,523,205,269
1,192,103,849
2,784,100,448
0,240,103,550
0,40,101,602
1,421,107,712
2,566,500,527
3,631,405,840
2,1008,108,269
1,570,104,108
2,504,202,288
0,354,500,313
2,601,501,833
1,328,200,361
3,944,104,457
2,547,500,888
0,387,509,269
3,783,503,822
3,167,401,136
0,888,108,842
0,228,500,649
2,775,103,433
1,637,106,105
1,935,401,677
0,943,504,490
3,49,407,717
3,824,508,786
3,704,408,757
2,571,500,461
2,578,506,454
0,1065,207,373
1,284,107,814
3,365,300,642
3,124,401,156
0,554,506,179
0,101,108,569
1,781,500,247
0,240,103,535
0,893,108,848
1,254,101,791
1,366,404,489
0,83,107,593
3,275,309,684
1,530,409,119
0,922,104,831
2,1004,101,278
0,402,507,260
3,494,103,402
1,393,403,531
3,764,500,843
0,1035,209,306
3,619,307,395
3,617,401,810
3,283,300,674
1,371,403,510
1,640,109,248
1,533,404,129
3,691,404,253
3,766,200,398
0,1090,205,302
1,766,507,298
1,358,402,567
3,251,302,1031
3,781,501,797
1,642,103,121
0,869,104,855
1,400,104,687
1,367,101,701
2,1006,101,325
0,597,504,244
3,582,409,843
1,582,404,49
0,372,501,269
3,40,405,694
0,1055,201,355
3,671,400,733
2,541,207,336
1,350,205,362
0,223,504,702
1,222,107,806
2,564,507,498
1,781,502,287
2,747,105,436
3,357,302,671
0,512,500,246
1,776,503,253
1,227,102,857
2,745,103,485
3,581,101,436
1,743,502,223
0,838,107,828
1,773,506,279
3,146,409,184
1,201,102,770
1,322,405,568
3,316,308,740
1,579,103,232
3,559,109,441
3,686,408,737
3,953,100,467
2,525,502,514
3,361,308,734
0,520,504,184
3,542,104,401
1,259,100,808
0,830,107,902
0,419,509,260
0,570,501,227
3,136,402,200
3,100,404,677
3,572,104,360
1,280,109,865
1,700,509,279
0,914,108,883
0,212,107,551
0,291,502,703
0,548,507,215
0,267,508,666
3,363,309,695
0,256,505,622
3,309,307,1026
0,611,501,243
1,620,103,277
0,530,505,213
1,377,104,737
1,957,407,675
2,614,508,894
0,1069,201,392
0,234,501,665
1,321,209,410
0,974,507,471
0,444,508,232
1,872,407,678
0,985,500,408
3,638,403,277
0,391,504,323
0,838,107,897
0,933,502,470
2,778,108,468
0,436,507,254
1,566,406,79
0,193,106,561
0,271,108,493
1,556,409,127
3,77,408,653
1,549,109,106
2,618,508,878
3,564,409,860
1,600,106,104
3,589,406,842
3,759,205,406
1,345,401,533
1,916,406,728
2,544,504,875
3,358,303,724
0,909,109,829
2,508,204,266
3,605,402,799
2,526,205,289
3,692,402,253
1,372,106,661
2,567,502,448
3,806,201,334
3,304,305,724
0,30,105,604
2,521,504,526
3,762,509,754
3,736,205,348
2,977,109,291
1,560,108,294
1,557,409,135
1,379,104,669
3,340,300,691
1,658,106,245
1,609,100,64
1,385,207,371
3,560,304,474
2,1013,105,262
3,597,307,407
0,1048,207,356
1,366,209,334
3,22,405,697
2,992,105,232
2,555,504,867
3,266,309,985
3,714,205,360
2,635,505,844
0,520,505,176
1,582,101,152
1,608,108,321
3,559,103,431
0,1097,200,377
2,516,200,238
0,12,107,583
3,572,100,402
1,626,108,241
3,667,404,291
1,361,207,420
0,251,104,478
2,956,103,322
0,262,109,540
0,181,105,531
1,452,102,643
3,327,309,769
1,523,405,78
3,674,405,276
1,916,402,702
3,17,402,690
1,957,409,713
3,612,306,382
3,725,209,392
2,740,108,471
1,542,405,54
0,270,108,556
3,784,505,785
1,600,108,122
0,443,502,296
0,873,105,895
3,581,305,435
3,174,409,168
3,571,309,446
3,173,404,153
3,146,404,171
1,600,401,111
0,245,503,625
3,708,403,300
2,560,505,511
0,60,101,638
2,607,501,493
1,630,107,262
1,605,101,144
1,599,402,95
1,440,104,675
0,848,108,922
3,95,403,664
1,386,108,705
3,259,303,1072
3,67,402,701
0,608,501,183
3,554,302,398
0,276,103,521
0,878,105,828
1,378,103,686
1,451,102,734
2,724,107,464
2,1027,108,245
1,607,408,46
0,591,502,234
3,674,401,790
2,566,501,507
1,379,206,329
0,224,503,714
0,377,505,258
2,997,109,250
1,397,403,482
1,599,102,81
1,378,206,398
1,690,508,246
1,604,101,132
3,189,402,176
3,776,202,341
2,1041,105,242
0,846,108,871
1,699,505,251
0,912,106,920
2,977,106,265
0,207,506,682
3,82,409,655
3,979,104,400
0,1049,209,298
1,376,108,702
0,85,102,592
1,377,205,406
0,252,506,711
3,187,406,219
3,197,407,178
3,293,308,1013
0,843,103,890
3,19,409,663
0,1096,203,303
3,755,408,734
3,653,409,249
3,203,408,188
1,951,401,721
1,592,100,287
0,1059,203,362
1,638,104,277
0,203,103,539
3,559,302,430
2,1023,104,282
2,626,500,871
1,224,102,795
3,112,403,640
1,874,400,737
3,287,305,627
2,1037,102,292
3,187,400,230
3,183,404,145
2,1010,104,240
3,529,105,379
1,373,107,694
1,394,102,728
3,603,304,407
2,1044,106,242
2,787,102,440
2,556,203,315
2,513,204,323
2,804,108,427
0,66,103,626
2,600,509,925
1,711,506,304
2,565,501,494
3,982,103,449
1,402,408,546
3,205,407,230
0,34,100,613
0,1053,205,320
1,629,101,238
3,554,106,422
0,1114,203,342
3,230,306,1068
1,351,203,353
3,328,304,651
3,725,404,747
3,682,402,280
3,336,306,617
0,50,102,628
3,685,402,771
0,419,507,251
3,18,408,644
3,741,405,778
0,379,502,245
3,665,403,319
0,235,503,685
1,224,104,823
0,10,102,615
1,548,104,145
0,53,109,638
3,885,105,490
0,428,504,258
1,267,106,789
3,303,308,979
2,611,501,437
1,593,107,255
3,634,401,894
0,884,103,840
1,412,105,674
3,695,406,816
3,244,308,1000
3,809,209,404
3,133,404,206
0,429,500,280
2,550,203,296
2,992,106,292
0,888,105,871
3,884,105,427
2,610,508,505
2,571,500,912
1,731,508,215
2,1002,106,271
0,227,102,489
1,889,409,711
1,382,106,718
3,951,109,424
2,556,206,242
3,801,205,375
1,637,103,289
0,838,107,910
0,29,101,601
2,571,204,335
0,599,504,243
2,599,509,461
3,705,406,277
2,552,208,255
1,751,504,245
3,505,108,422
3,745,204,412
1,398,405,494
0,1057,206,367
1,397,409,574
3,293,308,1020
3,752,405,790
3,557,103,382
0,920,106,852
3,221,308,1019
1,607,108,314
0,903,102,827
3,537,102,413
2,544,509,455
1,200,106,835
1,222,107,833
1,906,403,699
1,332,205,360
3,719,206,396
0,954,506,403
2,724,109,492
0,1074,204,312
3,733,500,757
3,191,405,226
2,526,201,326
0,21,104,585
3,618,308,393
0,919,501,415
0,595,505,185
0,14,101,582
1,621,107,111
3,757,209,360
1,404,100,657
0,75,101,555
0,210,100,514
1,619,101,134
1,437,107,675
3,191,400,171
1,536,407,137
3,231,306,981
0,1086,200,319
0,871,102,917
1,395,205,357
3,791,503,840
0,571,507,175
1,377,205,350
2,726,108,500
3,298,306,677
3,776,202,326
1,875,402,740
3,98,404,675
3,806,202,403
3,244,307,1076
1,393,200,383
1,315,209,370
2,618,500,847
0,86,108,613
3,684,405,251
3,267,307,1002
2,756,104,423
3,910,107,409
3,646,404,312
1,564,104,330
2,543,208,243
3,737,201,344
3,69,406,702
0,542,508,241
1,577,104,67
0,219,507,691
3,713,401,242
3,637,401,271
2,533,501,431
2,1042,102,311
1,621,108,116
0,1111,202,355
1,645,108,101
0,217,109,517
0,202,102,494
1,414,104,707
1,448,101,680
1,859,408,730
3,967,109,447
1,759,502,235
3,629,409,256
1,904,409,672
3,947,109,495
3,108,406,690
3,656,404,263
0,234,502,666
0,198,503,695
3,332,302,606
3,618,403,835
1,761,503,278
2,584,500,509
1,597,107,252
3,648,402,287
3,551,406,814
3,302,300,646
2,972,101,286
0,19,108,584
0,105,102,573
3,900,107,438
1,460,104,704
3,519,102,398
1,564,109,305
3,608,308,415
3,165,405,228
3,67,402,705
0,541,508,240
1,391,206,418
3,577,304,440
1,377,400,495
0,898,101,864
0,958,502,490
1,753,502,231
3,620,306,410
3,924,102,408
1,866,405,689
1,378,203,371
0,184,104,537
0,1071,209,381
1,630,106,98
0,573,509,207
1,432,108,699
3,901,105,454
1,552,107,153
3,356,300,657
2,531,507,487
0,29,105,562
3,144,400,188
3,907,101,421
3,344,300,758
0,269,504,629
1,401,101,664
2,953,100,275
0,254,501,631
3,149,402,175
3,134,402,216
0,891,101,903
0,34,108,561
0,591,503,205
3,710,403,800
2,586,502,483
0,1019,206,385
0,828,106,883
0,964,507,463
2,1038,101,243
1,574,103,321
1,385,209,385
1,779,507,215
3,671,400,802
3,167,404,228
3,166,403,229
3,898,100,401
0,281,500,688
0,571,506,261
3,146,405,213
2,619,507,462
2,589,506,443
1,245,109,813
2,754,108,472
1,603,109,112
3,591,106,362
1,578,101,237
3,339,307,611
2,566,209,238
0,1076,202,340
0,910,108,914
3,589,306,386
3,753,209,361
0,200,507,644
3,69,401,684
0,566,508,183
0,291,508,711
2,553,502,443
1,561,102,293
1,891,402,695
1,653,105,327
1,343,204,381
0,53,106,600
2,992,103,286
2,529,204,288
3,796,203,408
1,740,506,217
0,846,102,919
3,781,506,837
3,53,405,702
3,743,402,739
3,539,303,426
3,650,406,237
1,318,201,374
2,540,504,495
3,900,106,483
0,38,101,586
0,278,102,479
1,407,106,705
3,658,401,259
1,423,105,675
3,612,302,431
3,347,301,689
0,851,101,892
1,443,100,661
2,723,107,456
2,621,509,867
3,734,407,740
3,687,403,782
3,780,200,337
1,562,409,91
0,194,106,479
1,604,105,112
0,446,503,229
0,1079,200,379
3,728,205,354
2,604,501,834
0,270,109,507
3,552,306,449
0,582,509,222
3,682,403,252
1,405,205,370
2,527,201,245
0,279,104,508
1,274,108,785
1,383,100,708
3,335,303,724
3,73,408,665
3,822,505,753
0,251,106,540
1,899,408,755
1,337,202,406
1,720,500,282
0,204,107,534
1,430,104,661
3,588,300,434
3,550,302,465
2,547,504,835
1,411,100,702
0,930,506,429
1,752,506,279
0,1051,201,373
1,571,401,76
0,233,100,475
0,221,500,696
1,556,107,69
3,959,108,410
2,551,207,285
1,355,204,412
0,926,105,885
0,407,502,261
0,77,102,554
1,723,504,267
2,575,507,457
0,393,506,239
1,630,105,142
1,509,403,123
2,547,504,827
2,567,507,509
3,523,104,409
2,1025,109,318
2,563,507,896
3,275,303,674
3,713,200,357
3,71,400,658
2,1038,102,322
1,604,104,318
3,281,309,1015
2,572,504,449
0,581,506,181
3,534,107,438
3,556,102,388
0,405,504,302
0,979,501,422
3,15,409,661
1,619,103,105
3,595,404,893
3,962,105,398
3,58,405,658
3,199,408,144
3,182,403,208
1,640,106,281
3,156,401,209
3,14,408,664
3,683,403,748
1,369,107,663
3,263,308,1076
0,1051,205,300
0,1001,508,406
0,973,500,443
0,1067,206,314
3,688,409,263
3,586,408,809
3,801,500,842
1,206,105,851
2,803,108,485
2,616,501,873
2,753,105,432
3,738,409,810
0,995,502,409
3,692,401,269
1,604,109,106
1,279,100,768
3,975,105,481
1,708,502,240
3,39,402,661
3,789,503,756
3,335,308,724
0,404,507,295
0,868,105,855
1,361,404,493
3,680,405,291
0,236,107,470
0,555,504,263
1,944,409,722
0,257,103,544
3,27,404,669
1,782,505,302
1,623,108,327
1,885,405,707
0,908,102,871
3,141,400,197
1,658,103,318
1,350,401,545
3,565,105,389
0,198,102,523
1,555,108,142
3,335,300,761
0,557,505,213
3,745,208,336
2,575,203,247
3,761,404,785
1,569,402,47
3,641,409,271
3,289,300,671
0,77,109,580
0,357,506,287
0,234,106,552
0,79,101,592
0,55,105,554
2,548,507,458
1,377,108,673
3,758,403,816
3,685,403,302
2,547,502,871
1,371,202,336
1,397,105,739
0,369,500,250
1,197,103,858
1,910,405,665
1,724,501,299
0,213,504,623
0,1046,203,343
3,769,501,840
1,934,403,716
1,890,406,727
3,760,409,801
0,206,509,649
3,347,304,713
1,450,106,722
3,611,406,881
3,559,406,818
1,315,208,379
0,270,101,536
3,572,104,356
3,613,405,878
2,760,101,428
0,988,509,407
3,235,304,980
3,637,405,282
1,568,109,318
3,628,407,844
2,577,203,265
0,559,501,260
1,361,401,519
1,359,207,367
3,686,407,801
3,360,303,749
0,514,502,231
3,368,305,648
3,795,503,750
0,227,503,672
3,549,102,391
3,912,108,497
1,640,108,238
3,27,402,673
1,956,401,676
3,672,402,253
0,194,106,508
1,769,509,261
3,274,305,1037
3,547,101,443
0,853,106,902
0,1054,206,313
1,543,401,123
1,718,506,291
1,876,402,699
3,747,500,807
0,943,509,484
1,536,406,63
2,579,505,520
3,159,402,205
1,643,101,304
3,798,502,757
3,931,105,452
3,169,406,180
0,910,509,451
2,758,108,476
3,339,308,685
1,431,101,678
1,568,101,287
1,619,100,239
0,915,506,447
3,134,402,167
0,98,109,564
1,387,103,676
0,436,501,297
1,397,105,725
3,557,406,800
3,726,205,386
3,542,104,448
1,784,508,248
3,576,405,862
0,946,504,405
0,992,506,493
1,340,407,509
1,594,103,303
0,232,503,619
0,231,100,527
0,40,102,557
0,590,509,195
2,788,107,477
0,512,509,268
1,350,400,538
3,261,301,1050
3,597,404,804
3,266,301,1056
0,975,502,438
3,341,305,735
1,349,401,490
0,891,109,852
2,524,201,301
3,977,107,424
1,583,103,116
1,775,507,241
3,352,304,741
3,799,506,841
0,521,506,216
3,628,300,469
1,411,402,550
1,617,102,118
0,65,109,646
0,914,102,921
3,344,309,677
3,540,407,873
1,388,101,719
3,321,300,647
1,546,108,99
1,460,105,709
3,63,404,692
1,740,502,214
0,581,506,178
0,887,106,922
0,541,508,195
0,1088,202,357
3,726,209,393
3,17,402,700
1,329,208,361
3,820,503,821
0,967,506,479
3,737,507,786
0,1039,208,336
3,765,506,813
3,693,405,814
3,785,208,422
0,273,109,532
3,580,307,424
0,521,507,184
1,384,405,562
2,997,101,303
2,581,502,528
1,572,108,88
2,746,103,496
3,954,108,435
2,575,504,856
1,773,509,299
3,755,401,797
1,607,107,305
3,566,405,859
3,301,300,633
0,830,103,852
3,628,403,805
0,264,104,533
3,294,308,676
3,613,404,798
3,577,108,386
0,91,104,586
